"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Lamet, Dinelson",659275,"BOS","SIFT","Sinker",-2,-3,"165",27.4,"35","0.429","0.679","0.52",11.1,8.6,12.5,"0.361","0.555","0.454",68
"Lively, Ben",594902,"CIN","CH","Changeup",-1.1,-2,"141",10.2,"35","0.265","0.412","0.353",13.3,11.4,23.5,"0.26","0.372","0.283",33.3
"Corbin, Patrick",571578,"WSH","CH","Changeup",-3.4,-6,"187",6.4,"35","0.29","0.645","0.418",40,25.7,21.4,"0.281","0.516","0.369",30.4
"Strzelecki, Peter",657265,"AZ","SIFT","Sinker",-0.1,0,"126",19.3,"35","0.25","0.321","0.366",19.3,8.6,14.3,"0.231","0.39","0.349",32
"Harris, Hobie",665048,"WSH","FF","4-Seamer",-2.2,-3,"121",34.6,"35","0.2","0.56","0.421",17,5.7,8,"0.291","0.828","0.527",47.8
"Crochet, Garrett",676979,"CWS","FF","4-Seamer",0.2,0,"186",63.7,"35","0.261","0.478","0.397",29.1,17.1,12.2,"0.239","0.51","0.438",50
"Stone, Gavin",694813,"LAD","FF","4-Seamer",-5.8,-9,"152",27.8,"35","0.517","0.931","0.63",23.5,2.9,2.8,"0.358","0.675","0.479",42.9
"Willingham, Amos",686294,"WSH","SL","Slider",0.1,0,"161",34.9,"35","0.267","0.4","0.31",47.4,25.7,16.4,"0.232","0.492","0.341",40.9
"Diekman, Jake",518617,"TB","ST","Sweeper",-0.1,0,"178",17.9,"35","0.161","0.29","0.237",37.3,37.1,21.3,"0.156","0.229","0.213",15.8
"Quantrill, Cal",615698,"CLE","CH","Changeup",-1.9,-3,"173",10.1,"35","0.344","0.625","0.437",18.2,11.4,8.2,"0.357","0.598","0.431",32.1
"Lugo, Seth",607625,"SD","SL","Slider",-0.5,-1,"217",9.1,"35","0.286","0.486","0.329",23.6,11.4,12.5,"0.263","0.415","0.287",32.3
"Gaddis, Hunter",683769,"CLE","CH","Changeup",-1.2,-2,"125",18.2,"35","0.156","0.469","0.293",16.7,22.9,16.3,"0.202","0.422","0.297",33.3
"Jax, Griffin",643377,"MIN","SIFT","Sinker",1.2,2,"139",13.3,"35","0.226","0.29","0.294",15.4,8.6,21.4,"0.276","0.337","0.303",34.5
"Heller, Ben",621294,"ATL","SIFT","Sinker",1.1,2,"137",44.5,"35","0.258","0.387","0.327",14.3,8.6,11.5,"0.283","0.455","0.358",60.7
"Mayers, Mike",594577,"KC","FF","4-Seamer",-0.4,-1,"141",31,"34","0.233","0.5","0.357",16.7,11.8,8,"0.196","0.352","0.265",37
"Strzelecki, Peter",657265,"AZ","SL","Slider",0.4,1,"174",26.6,"34","0.258","0.355","0.292",31.4,26.5,15.5,"0.247","0.335","0.277",21.7
"Barlow, Scott",605130,"SD","SIFT","Sinker",-2.5,-2,"97",8.1,"34","0.345","0.379","0.384",15.7,11.8,15.4,"0.272","0.35","0.315",26.9
"Marsh, Alec",679525,"KC","SIFT","Sinker",2.7,3,"96",7.2,"34","0.29","0.452","0.364",6.1,8.8,25,"0.341","0.568","0.415",53.6
"Patiño, Luis",672715,"CWS","SIFT","Sinker",-0.6,-1,"119",31.1,"34","0.214","0.393","0.362",17.6,5.9,14.3,"0.309","0.452","0.391",53.8
"Davies, Zach",605200,"AZ","FC","Cutter",-0.1,0,"169",11.3,"34","0.3","0.3","0.3",14.5,5.9,10.5,"0.263","0.316","0.285",27.6
